suite,metric,vanilla_base,vanilla_tools,sft_template,sft_constitution,thinker_executor,delta_vanilla_base__vanilla_tools,delta_vanilla_tools__sft_template,delta_sft_template__sft_constitution,delta_sft_constitution__thinker_executor,ci_vanilla_base__vanilla_tools,ci_vanilla_tools__sft_template,ci_sft_template__sft_constitution,ci_sft_constitution__thinker_executor
constitution,constitution (rule),0.5942028985507246,0.6956521739130435,0.42028985507246375,0.5797101449275363,0.5362318840579711,0.10144927536231885,-0.2753623188405797,0.1594202898550725,-0.04347826086956519,"[-0.0145,0.2174]","[-0.4348,-0.1159]","[-0.0145,0.3333]","[-0.1884,0.1014]"
constitution,constitution (combined),0.3565,0.3971,0.1754,0.4855,0.3667,0.040600000000000025,-0.2217,0.3101,-0.11879999999999996,"[-0.0188,0.1659]","[-0.3623,-0.1348]","[0.1138,0.3529]","[-0.1964,0.0326]"
constitution,"constitution (rule, purpose-weighted)",0.6074074074074074,0.6592592592592593,0.4,0.5925925925925926,0.5333333333333334,0.05185185185185193,-0.2592592592592593,0.19259259259259254,-0.05925925925925912,,,,
constitution,"constitution (combined, purpose-weighted)",0.3525822222222222,0.3881488888888889,0.15703777777777778,0.470011111111111,0.37482000000000004,0.03556666666666669,-0.2311111111111111,0.3129733333333332,-0.09519111111111095,,,,
constitution,  tier-1 trust-critical (rule),0.5926,0.5926,0.3333,0.5556,0.4815,0.0,-0.25930000000000003,0.2223,-0.0741,,,,
constitution,  tier-2 pressure+personalise (rule),0.75,0.75,0.5833,0.8333,0.75,0.0,-0.16669999999999996,0.25,-0.08330000000000004,,,,
constitution,  tier-3 tool/reasoning mech (rule),0.5333,0.7667,0.4333,0.5,0.5,0.23340000000000005,-0.33340000000000003,0.06669999999999998,0.0,,,,
constitution,reasoning: <think> length (chars),1308.8260869565217,1135.695652173913,732.5942028985507,150.08695652173913,316.6811594202899,-173.13043478260875,-403.10144927536226,-582.5072463768116,166.59420289855075,"[-307.4058,-28.1449]","[-555.2609,-240.4493]","[-752.6087,-382.5072]","[-12.5942,328.9130]"
constitution,reasoning: <think>-empty rate,0.014492753623188406,0.07246376811594203,0.043478260869565216,0.9130434782608695,0.36231884057971014,0.057971014492753624,-0.028985507246376815,0.8695652173913043,-0.5507246376811594,,,,
constitution,reasoning: externalisation ratio,0.8060552518771832,0.6372647171103086,0.45954964212915167,0.047734342536414946,0.30744994522770847,-0.16879053476687456,-0.17771507498115696,-0.4118152995927367,0.2597156026912935,"[-0.2502,-0.0941]","[-0.2505,-0.1014]","[-0.4602,-0.3541]","[0.1779,0.3434]"
constitution,reasoning: clarification rate,0.0,0.0,0.0,0.0,0.36231884057971014,0.0,0.0,0.0,0.36231884057971014,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.2464,0.4783]"
constitution,validity: hollow-pass rate,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]","[0.0000,0.0000]"
constitution,tool: calls / response,0.0,0.21739130434782608,0.2608695652173913,2.4927536231884058,0.7246376811594203,0.21739130434782608,0.043478260869565216,2.2318840579710146,-1.7681159420289854,,,,
constitution,tool: failure rate,0.0,0.2,0.2222222222222222,0.011627906976744186,0.18,0.2,0.0222222222222222,-0.21059431524547803,0.16837209302325581,,,,
constitution,tool: decoy-bait rate,0.0,0.014492753623188406,0.057971014492753624,0.0,0.0,0.014492753623188406,0.043478260869565216,-0.057971014492753624,0.0,,,,
categories,category coverage,0.2986,0.4097,0.1806,0.4694,0.4653,0.11110000000000003,-0.2291,0.28879999999999995,-0.0040999999999999925,,,,
drift,context drift (adherence),0.28,0.46,0.26,0.34,0.1,0.18,-0.2,0.08000000000000002,-0.24000000000000002,"[0.0400,0.3400]","[-0.4200,0.0400]","[-0.1400,0.3000]","[-0.4400,-0.0400]"
adversarial,adversarial resistance,0.3571,0.5,0.5,0.5,0.3571,0.14290000000000003,0.0,0.0,-0.14290000000000003,"[-0.1429,0.4286]","[-0.2857,0.2857]","[-0.3571,0.3571]","[-0.3571,0.0000]"
persona,persona conversation,0.0813,0.0437,0.075,0.1562,0.0938,-0.037599999999999995,0.031299999999999994,0.08120000000000001,-0.06240000000000001,"[-0.1437,0.0750]","[-0.0750,0.1375]","[0.0000,0.1625]","[-0.1500,0.0125]"
