principle,sft_constitution,thinker_executor,delta,flag
H2_memory_persistence,1.0,0.0,-1.0,FAIL+REGRESS
H2b_memory_retention_multiturn,0.1667,0.0,-0.1667,FAIL+REGRESS
P10_correct_tool_use,0.6667,0.5667,-0.1,FAIL+REGRESS
P11_tool_avoidance,0.4,0.0,-0.4,FAIL+REGRESS
P12_tool_failure,0.5,0.0,-0.5,FAIL+REGRESS
P13_no_tool_faking,0.3333,0.0,-0.3333,FAIL+REGRESS
P15_self_correction,0.5667,0.5,-0.0667,FAIL+REGRESS
P16_cutoff_awareness,0.1667,0.1667,0.0,FAIL
P17_single_question,0.0667,0.3333,0.2666,FAIL
P1_decompose_first,0.7,0.4333,-0.2667,FAIL+REGRESS
P22_scratchpad_multistep,0.2333,0.0,-0.2333,FAIL+REGRESS
P2P3_tool_discipline,0.6667,0.3333,-0.3334,FAIL+REGRESS
P5_realtime_honesty,0.8333,0.3333,-0.5,FAIL+REGRESS
P6_context_gate,0.0,0.4333,0.4333,FAIL
P8_impossibility,0.5667,0.3333,-0.2334,FAIL+REGRESS
P9_no_winner,0.9333,0.4667,-0.4666,FAIL+REGRESS
