condition,suite,n,wins,mean_rank,borda,mean_score
vanilla_base,ALL,149,28,2.685,345,0.401
vanilla_base,adversarial,14,3,2.786,31,
vanilla_base,category,34,8,2.441,87,
vanilla_base,constitution,68,11,2.75,153,
vanilla_base,drift,25,3,2.88,53,
vanilla_base,persona,8,3,2.375,21,
vanilla_base,constitution_weighted,149,0.1159,2.761,,
vanilla_base,constitution_tier1,26,1,2.769,,
vanilla_base,constitution_tier2,18,3,2.778,,
vanilla_base,constitution_tier3,24,7,2.708,,
vanilla_tools,ALL,149,42,2.436,382,0.475
vanilla_tools,adversarial,14,2,3.0,28,
vanilla_tools,category,34,11,2.235,94,
vanilla_tools,constitution,68,19,2.456,173,
vanilla_tools,drift,25,9,2.24,69,
vanilla_tools,persona,8,1,2.75,18,
vanilla_tools,constitution_weighted,149,0.2899,2.428,,
vanilla_tools,constitution_tier1,26,9,2.231,,
vanilla_tools,constitution_tier2,18,3,2.889,,
vanilla_tools,constitution_tier3,24,7,2.375,,
sft_template,ALL,149,16,3.638,203,0.1859
sft_template,adversarial,14,3,3.214,25,
sft_template,category,34,3,3.882,38,
sft_template,constitution,68,7,3.735,86,
sft_template,drift,25,2,3.2,45,
sft_template,persona,8,1,3.875,9,
sft_template,constitution_weighted,149,0.087,3.877,,
sft_template,constitution_tier1,26,2,4.0,,
sft_template,constitution_tier2,18,1,4.056,,
sft_template,constitution_tier3,24,4,3.208,,
sft_constitution,ALL,149,37,2.846,321,0.3985
sft_constitution,adversarial,14,4,2.714,32,
sft_constitution,category,34,6,3.294,58,
sft_constitution,constitution,68,15,2.926,141,
sft_constitution,drift,25,11,2.12,72,
sft_constitution,persona,8,1,2.75,18,
sft_constitution,constitution_weighted,149,0.2246,2.942,,
sft_constitution,constitution_tier1,26,5,3.038,,
sft_constitution,constitution_tier2,18,6,2.722,,
sft_constitution,constitution_tier3,24,4,2.958,,
thinker_executor,ALL,149,26,3.396,239,0.297
thinker_executor,adversarial,14,2,3.286,24,
thinker_executor,category,34,6,3.147,63,
thinker_executor,constitution,68,16,3.132,127,
thinker_executor,drift,25,0,4.56,11,
thinker_executor,persona,8,2,3.25,14,
thinker_executor,constitution_weighted,149,0.2826,2.993,,
thinker_executor,constitution_tier1,26,9,2.962,,
thinker_executor,constitution_tier2,18,5,2.556,,
thinker_executor,constitution_tier3,24,2,3.75,,
