condition,suite,n,wins,mean_rank,borda,mean_score
vanilla_base,ALL,146,31,2.651,343,0.4733
vanilla_base,adversarial,14,3,2.929,29,
vanilla_base,category,33,10,2.212,92,
vanilla_base,constitution,67,12,2.746,151,
vanilla_base,drift,25,5,2.76,56,
vanilla_base,persona,7,1,2.857,15,
vanilla_base,constitution_weighted,146,0.1511,2.791,,
vanilla_base,constitution_tier1,27,3,2.852,,
vanilla_base,constitution_tier2,18,3,2.778,,
vanilla_base,constitution_tier3,22,6,2.591,,
vanilla_tools,ALL,146,35,2.507,364,0.512
vanilla_tools,adversarial,14,2,2.857,30,
vanilla_tools,category,33,10,2.394,86,
vanilla_tools,constitution,67,15,2.507,167,
vanilla_tools,drift,25,6,2.4,65,
vanilla_tools,persona,7,2,2.714,16,
vanilla_tools,constitution_weighted,146,0.2158,2.468,,
vanilla_tools,constitution_tier1,27,7,2.222,,
vanilla_tools,constitution_tier2,18,1,3.056,,
vanilla_tools,constitution_tier3,22,7,2.409,,
sft_template,ALL,146,21,3.452,226,0.3528
sft_template,adversarial,14,3,3.0,28,
sft_template,category,33,3,3.667,44,
sft_template,constitution,67,10,3.537,98,
sft_template,drift,25,4,3.24,44,
sft_template,persona,7,1,3.286,12,
sft_template,constitution_weighted,146,0.1439,3.597,,
sft_template,constitution_tier1,27,4,3.593,,
sft_template,constitution_tier2,18,2,3.833,,
sft_template,constitution_tier3,22,4,3.227,,
sft_constitution,ALL,146,34,2.897,307,0.45
sft_constitution,adversarial,14,3,3.143,26,
sft_constitution,category,33,4,3.333,55,
sft_constitution,constitution,67,16,2.896,141,
sft_constitution,drift,25,10,2.2,70,
sft_constitution,persona,7,1,2.857,15,
sft_constitution,constitution_weighted,146,0.2374,2.935,,
sft_constitution,constitution_tier1,27,5,3.111,,
sft_constitution,constitution_tier2,18,7,2.556,,
sft_constitution,constitution_tier3,22,4,2.909,,
thinker_executor,ALL,146,25,3.493,220,0.338
thinker_executor,adversarial,14,3,3.071,27,
thinker_executor,category,33,6,3.394,53,
thinker_executor,constitution,67,14,3.313,113,
thinker_executor,drift,25,0,4.4,15,
thinker_executor,persona,7,2,3.286,12,
thinker_executor,constitution_weighted,146,0.2518,3.209,,
thinker_executor,constitution_tier1,27,8,3.222,,
thinker_executor,constitution_tier2,18,5,2.778,,
thinker_executor,constitution_tier3,22,1,3.864,,
